lugar;longt;lat;barrio;comuna;categoria;domicilio
Teatro San Martín;-58.3886;-34.6048;San Nicolas;1;Espacios Publicos;Av. Corrientes 1530
Torre Monumental;-58.3738;-34.5923;Retiro;1;Espacios Publicos;Av. Del Libertador 49
UGIS;-58.4528;-34.6786;Villa Lugano;8;Espacios Publicos;Escalada Av. 4501
Usina del Arte;-58.356;-34.6287;La Boca;4;Espacios Publicos;Pedro De Mendoza Y Caffarena
Biblioteca Benito Lynch;-58.4969;-34.6677;Mataderos;9;Bibliotecas;Pasaje Irupé 6714
CESAC N° 19;-58.4422;-34.6429;Flores;7;Hospitales y Centros de Salud;
CMD;-58.3792;-34.6549;Barracas;4;Espacios Publicos;Algarrobo 1050
DG Licencias;-58.457;-34.6927;Villa Lugano;8;Espacios Publicos;Av. Roca 5252
Diagonal Sur y Perú;-58.3749;-34.6103;Montserrat;1;Parques y Plazas;Diagonal Sur y Perú
Hospital Marie Curie;-58.4333;-34.607;Caballito;6;Hospitales y Centros de Salud;Av. Patricias Argentinas 150
Est Rosas;-58.4864;-34.5743;;;Subte;
Hospital Santojanni;-58.5158;-34.6494;Mataderos;9;Hospitales y Centros de Salud;Pilar 950
Hospital Velez Sarfield;-58.5075;-34.6252;Monte Castro;10;Hospitales y Centros de Salud;Calderón de la Barca 1550
Hospital Zubizarreta;-58.5112;-34.5999;Villa Devoto;11;Hospitales y Centros de Salud;Nueva York 3952
Jardín Botánico 1;-58.4173;-34.5826;Palermo;14;Espacios Publicos;Av. Santa Fe y Armenia
Jardín Botánico 2;-58.4155;-34.5832;Palermo;14;Espacios Publicos;República Árabe Siria y Beruti
Museo “Carlos Gardel”;-58.4079;-34.6016;Balvanera;3;Museos;Jean Jaurés 735
Museo “Fernández Blanco”;-58.3799;-34.5909;Retiro;1;Museos;Suipacha 1422
Museo “José Hernández”;-58.4052;-34.5798;Palermo;14;Museos;Av. del Libertador 2373
Museo “Luis Perlotti”;-58.4483;-34.615;Caballito;6;Museos;Pujol 644
Museo “Sívori”;-58.4212;-34.5707;Palermo;14;Museos;Av. Infanta Isabel 555
Museo de Arte Moderno de Buenos Aires;-58.3707;-34.6219;San Telmo;1;Museos;Av. San Juan 350
Museo de la Ciudad;-58.3722;-34.6102;Montserrat;1;Museos;Alsina 412
Museo del Cine;-58.357;-34.6296;La Boca;4;Museos;Agustín R. Caffarena 51
Museo Hickens;-58.3794;-34.6391;Barracas;4;Museos;Salmún Feijóo, José Aaron 555
Museo Larreta;-58.4553;-34.5611;Belgrano;13;Museos;Juramento 2291
Plaza Vaticano;-58.3831;-34.6006;San Nicolas;1;Parques y Plazas;Plaza Vaticano
Sede Comunal 1;-58.3868;-34.6001;San Nicolas;1;Sedes Comunales;Uruguay 740
Sede Comunal 10;-58.4834;-34.6318;Floresta;10;Sedes Comunales;
Sede Comunal 11;-58.516;-34.6084;Villa Devoto;11;Sedes Comunales;Av. Beiro 4629
Sede Comunal 12;-58.4829;-34.5688;Villa Urquiza;12;Sedes Comunales;Miller 2751
Sede Comunal 13;-58.464;-34.5538;Belgrano;13;Sedes Comunales;Av. Cabildo 3067
Sede Comunal 14;-58.4093;-34.5871;Palermo;14;Sedes Comunales;Beruti 3325
Sede Comunal 15;-58.4413;-34.587;Chacarita;15;Sedes Comunales;Av. Córdoba 5690
Sede Comunal 2;-58.3988;-34.5967;Recoleta;2;Sedes Comunales;J.E.Uriburu 1022
Sede Comunal 3;-58.3969;-34.6029;Balvanera;3;Sedes Comunales;Junín 521
Sede Comunal 4;-58.4247;-34.6505;Nueva Pompeya;4;Sedes Comunales;Del Barco Centenera 2906
Sede Comunal 5;-58.4128;-34.6229;Boedo;5;Sedes Comunales;Sarandí 1273
Sede Comunal 6;-58.4329;-34.6059;Caballito;6;Sedes Comunales;Av. Patricias Argentinas 277
Sede Comunal 7;-58.467;-34.6302;Flores;7;Sedes Comunales;Av. Rivadavia 7202
Sede Comunal 8;-58.4553;-34.6847;Villa Riachuelo;8;Sedes Comunales;Av. Roca 5252
Sede Comunal 9;-58.505;-34.6596;Mataderos;9;Sedes Comunales;
